Table QS210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Census: Religion (detailed), Middle Layer Super Output Areas (MSOAs) and Lower Layer Super Output Areas (LSOAs) in England and Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London boroughs, unitary authorities and districts in England; unitary authorities in Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All usual residents, Numbers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region code,Region name,Local authority code,Local authority name,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,E06000047,County Durham UA,,"513,242","369,715","1,001",607,208,"1,934",609,"1,525",5,33,19,0,2,3,1,6,31,0,0,19,3,73,4,0,5,2,15,386,16,24,0,1,31,6,2,7,46,555,28,7,0,0,1,4,3,91,9,21,66,"107,281","105,468",188,201,4,34,136,"1,248",2,"30,362"
E12000001,NORTH EAST,E06000005,Darlington UA,,"105,564","71,122",307,317,45,971,361,310,2,7,8,0,0,0,0,1,2,0,0,0,3,23,0,0,0,2,1,113,4,9,0,0,3,3,1,2,19,68,3,1,1,0,0,1,0,21,1,0,11,"25,415","24,977",56,43,4,9,25,301,0,"6,716"
E12000001,NORTH EAST,E06000001,Hartlepool UA,,"92,028","64,349",152,168,9,689,97,178,1,1,1,0,0,0,0,0,5,0,0,1,0,20,2,1,2,0,4,44,1,1,0,0,2,1,0,1,4,50,0,1,0,0,0,2,1,11,2,4,15,"20,507","20,217",34,38,0,5,15,198,0,"5,879"
E12000001,NORTH EAST,E06000002,Middlesbrough UA,,"138,412","87,511",370,591,45,"9,757",564,246,0,2,4,0,1,0,3,5,5,0,1,3,2,9,0,0,0,0,0,59,3,9,0,1,5,1,1,0,7,63,3,2,0,1,0,0,0,31,1,7,17,"30,797","30,340",53,46,1,10,16,331,0,"8,531"
E12000001,NORTH EAST,E06000048,Northumberland UA,,"316,028","216,673",578,335,169,"1,018",494,980,1,19,6,0,1,1,2,3,18,1,4,13,6,85,1,1,1,1,4,286,10,17,1,1,13,4,6,0,57,273,22,2,1,2,0,3,0,64,3,1,46,"75,620","74,515",127,113,2,23,100,739,1,"20,161"
E12000001,NORTH EAST,E06000003,Redcar and Cleveland UA,,"135,177","95,111",187,64,33,598,43,362,1,2,2,0,0,0,0,0,9,0,0,3,3,38,0,1,0,1,4,123,3,4,0,0,6,2,1,0,23,87,12,1,0,0,0,1,0,19,2,3,11,"30,054","29,602",44,51,0,3,34,320,0,"8,725"
E12000001,NORTH EAST,E06000004,Stockton-on-Tees UA,,"191,610","130,723",388,675,94,"4,143",625,382,2,1,8,1,0,1,0,2,11,0,2,4,7,27,0,0,2,0,3,110,6,9,3,0,7,3,1,1,15,98,6,4,0,0,0,0,1,20,4,6,17,"42,910","42,247",76,62,2,15,36,472,0,"11,670"
